locus_tag	ftype	length_bp	gene	EC_number	COG	product
HPEOJCLM_00040	CDS	762	soj	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
HPEOJCLM_00041	CDS	789				hypothetical protein
HPEOJCLM_00042	CDS	2613				hypothetical protein
HPEOJCLM_00043	CDS	561	ftsL			Cell division protein FtsL
HPEOJCLM_00044	CDS	957	rsmH	2.1.1.199		Ribosomal RNA small subunit methyltransferase H
HPEOJCLM_00045	CDS	477	mraZ			Transcriptional regulator MraZ
HPEOJCLM_00046	CDS	924	xerD_1			Tyrosine recombinase XerD
HPEOJCLM_00047	CDS	1029	ansA	3.5.1.1	COG0252	L-asparaginase 1
HPEOJCLM_00048	CDS	768				hypothetical protein
HPEOJCLM_00049	CDS	1482				hypothetical protein
HPEOJCLM_00050	CDS	330				hypothetical protein
HPEOJCLM_00051	CDS	258				hypothetical protein
HPEOJCLM_00052	CDS	1533				hypothetical protein
HPEOJCLM_00053	CDS	363	srrA		COG0745	Transcriptional regulatory protein SrrA
HPEOJCLM_00054	CDS	645	bioY		COG1268	Biotin transporter BioY
HPEOJCLM_00055	CDS	1539	mepA		COG0534	Multidrug export protein MepA
HPEOJCLM_00056	CDS	846	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
HPEOJCLM_00057	CDS	1314				hypothetical protein
HPEOJCLM_00058	CDS	2697	secDF		COG0341	Protein translocase subunit SecDF
HPEOJCLM_00059	CDS	1176				hypothetical protein
HPEOJCLM_00060	CDS	1713				hypothetical protein
HPEOJCLM_00061	CDS	453				hypothetical protein
HPEOJCLM_00062	CDS	207				hypothetical protein
HPEOJCLM_00063	CDS	138				hypothetical protein
HPEOJCLM_00064	CDS	759				hypothetical protein
HPEOJCLM_00065	CDS	258				hypothetical protein
HPEOJCLM_00066	tRNA	75				tRNA-Gly(ccc)
HPEOJCLM_00067	CDS	417				hypothetical protein
HPEOJCLM_00068	CDS	915				hypothetical protein
HPEOJCLM_00069	CDS	615				hypothetical protein
HPEOJCLM_00070	CDS	1233	lysN_1	2.6.1.39	COG1167	2-aminoadipate transaminase
HPEOJCLM_00071	CDS	1116				hypothetical protein
HPEOJCLM_00072	CDS	534				hypothetical protein
HPEOJCLM_00073	CDS	1221				hypothetical protein
HPEOJCLM_00074	CDS	462				hypothetical protein
HPEOJCLM_00075	CDS	906				hypothetical protein
HPEOJCLM_00076	CDS	1404	puuP		COG0531	Putrescine importer PuuP
HPEOJCLM_00077	CDS	837	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
HPEOJCLM_00078	tRNA	76				tRNA-Arg(cct)
HPEOJCLM_00079	CDS	3129				hypothetical protein
HPEOJCLM_00080	CDS	951				hypothetical protein
HPEOJCLM_00081	CDS	2970	dinG	3.1.-.-		3'-5' exonuclease DinG
HPEOJCLM_00082	CDS	639				hypothetical protein
HPEOJCLM_00083	CDS	951	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
HPEOJCLM_00084	CDS	1056	rlmN	2.1.1.192		putative dual-specificity RNA methyltransferase RlmN
HPEOJCLM_00085	CDS	3534	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
HPEOJCLM_00086	CDS	2079	fusA_1		COG0480	Elongation factor G
HPEOJCLM_00087	CDS	957				hypothetical protein
HPEOJCLM_00088	CDS	1302	mtaD	3.5.4.28	COG0402	5-methylthioadenosine/S-adenosylhomocysteine deaminase
HPEOJCLM_00089	CDS	1398	prsA	5.2.1.8		Foldase protein PrsA
HPEOJCLM_00090	tRNA	76				tRNA-Ala(ggc)
HPEOJCLM_00091	CDS	849	apbC		COG0489	Iron-sulfur cluster carrier protein
HPEOJCLM_00092	CDS	318				hypothetical protein
HPEOJCLM_00093	CDS	2382	metH	2.1.1.13	COG0646	Methionine synthase
HPEOJCLM_00094	CDS	855	fusA_2		COG0480	Elongation factor G
HPEOJCLM_00095	CDS	309	rpsJ		COG0051	30S ribosomal protein S10
HPEOJCLM_00096	CDS	621	rplC		COG0087	50S ribosomal protein L3
HPEOJCLM_00097	CDS	627	rplD			50S ribosomal protein L4
HPEOJCLM_00098	CDS	288	rplW		COG0089	50S ribosomal protein L23
HPEOJCLM_00099	CDS	495				hypothetical protein
HPEOJCLM_00100	CDS	1587				hypothetical protein
HPEOJCLM_00101	CDS	1533				hypothetical protein
HPEOJCLM_00102	CDS	702			COG1136	putative ABC transporter ATP-binding protein
HPEOJCLM_00103	CDS	3273	smc_1			Chromosome partition protein Smc
HPEOJCLM_00104	CDS	615				IS3 family transposase ISBlo11
HPEOJCLM_00105	CDS	582				hypothetical protein
HPEOJCLM_00106	CDS	1347	tig_1	5.2.1.8		Trigger factor
HPEOJCLM_00107	CDS	1263				hypothetical protein
HPEOJCLM_00108	CDS	231				hypothetical protein
HPEOJCLM_00109	CDS	2502				hypothetical protein
HPEOJCLM_00110	CDS	510				hypothetical protein
HPEOJCLM_00111	CDS	2193	mtgA	2.4.1.129		Biosynthetic peptidoglycan transglycosylase
HPEOJCLM_00112	CDS	1371	argH	4.3.2.1	COG0165	Argininosuccinate lyase
HPEOJCLM_00113	CDS	1383	argG	6.3.4.5		Argininosuccinate synthase
HPEOJCLM_00114	CDS	705	torD_1			Chaperone protein TorD
HPEOJCLM_00115	CDS	621	ttrB_1		COG0437	Tetrathionate reductase subunit B
HPEOJCLM_00116	CDS	2466	dmsA_1	1.8.5.3	COG0243	Dimethyl sulfoxide reductase DmsA
HPEOJCLM_00117	CDS	825				hypothetical protein
HPEOJCLM_00118	CDS	1317				hypothetical protein
HPEOJCLM_00119	CDS	1236	argD	2.6.1.11	COG4992	Acetylornithine aminotransferase
HPEOJCLM_00120	CDS	948	argB	2.7.2.8	COG0548	Acetylglutamate kinase
HPEOJCLM_00121	CDS	1299	argJ		COG1364	Arginine biosynthesis bifunctional protein ArgJ
HPEOJCLM_00122	CDS	357	argC	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
HPEOJCLM_00123	CDS	966	dnaK			Chaperone protein DnaK
HPEOJCLM_00124	CDS	684	grpE			Protein GrpE
HPEOJCLM_00125	CDS	951	dnaJ_1		COG0484	Chaperone protein DnaJ
HPEOJCLM_00126	CDS	378				hypothetical protein
HPEOJCLM_00127	CDS	1539				hypothetical protein
HPEOJCLM_00128	CDS	168	purN	2.1.2.2		Phosphoribosylglycinamide formyltransferase
HPEOJCLM_00129	CDS	993				hypothetical protein
HPEOJCLM_00130	CDS	636				hypothetical protein
HPEOJCLM_00131	CDS	1182	purH	3.5.4.10		Bifunctional purine biosynthesis protein PurH
HPEOJCLM_00132	CDS	504				hypothetical protein
HPEOJCLM_00133	CDS	1167				hypothetical protein
HPEOJCLM_00134	CDS	1194				hypothetical protein
HPEOJCLM_00135	CDS	483	menI	3.1.2.28		1,4-dihydroxy-2-naphthoyl-CoA hydrolase
HPEOJCLM_00136	tRNA	77				tRNA-Pro(cgg)
HPEOJCLM_00137	CDS	1221	ackA_1	2.7.2.1	COG0282	Acetate kinase
HPEOJCLM_00138	CDS	240				hypothetical protein
HPEOJCLM_00139	CDS	651				hypothetical protein
HPEOJCLM_00140	CDS	402	adhR_1		COG0789	HTH-type transcriptional regulator AdhR
HPEOJCLM_00141	CDS	507				hypothetical protein
HPEOJCLM_00142	CDS	270	tatA			Sec-independent protein translocase protein TatA
HPEOJCLM_00143	CDS	744				hypothetical protein
HPEOJCLM_00144	CDS	846				hypothetical protein
HPEOJCLM_00145	CDS	1512	ksdD	1.3.99.4	COG1053	3-oxosteroid 1-dehydrogenase
HPEOJCLM_00146	CDS	1314				hypothetical protein
HPEOJCLM_00147	CDS	915	ftsX		COG2177	Cell division protein FtsX
HPEOJCLM_00148	CDS	549	ftsE		COG2884	Cell division ATP-binding protein FtsE
HPEOJCLM_00149	CDS	810	yycJ	3.-.-.-	COG1235	Putative metallo-hydrolase YycJ
HPEOJCLM_00150	CDS	993				hypothetical protein
HPEOJCLM_00151	CDS	420	def_1	3.5.1.88		Peptide deformylase
HPEOJCLM_00152	CDS	2190	helD	3.6.4.12	COG3973	DNA helicase IV
HPEOJCLM_00153	CDS	1785		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
HPEOJCLM_00154	CDS	477				hypothetical protein
HPEOJCLM_00155	CDS	3339	rapA	3.6.4.-		RNA polymerase-associated protein RapA
HPEOJCLM_00156	CDS	1593		1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
HPEOJCLM_00157	CDS	639				hypothetical protein
HPEOJCLM_00158	CDS	1476	alsT_1		COG1115	Amino-acid carrier protein AlsT
HPEOJCLM_00159	CDS	210				hypothetical protein
HPEOJCLM_00160	CDS	603	urdA_2	1.3.99.33		Urocanate reductase
HPEOJCLM_00161	CDS	231				hypothetical protein
HPEOJCLM_00162	CDS	1299				hypothetical protein
HPEOJCLM_00163	CDS	588				hypothetical protein
HPEOJCLM_00164	CDS	1023				hypothetical protein
HPEOJCLM_00165	CDS	948	arcD1		COG0531	Arginine/ornithine antiporter ArcD1
HPEOJCLM_00166	CDS	1122	vioD_1	4.2.1.145		Capreomycidine synthase
HPEOJCLM_00167	CDS	1425	pyrP_1			Uracil permease
HPEOJCLM_00168	CDS	366				hypothetical protein
HPEOJCLM_00169	CDS	570	azoR	1.7.1.17		FMN-dependent NADH-azoreductase
HPEOJCLM_00170	CDS	1227				hypothetical protein
HPEOJCLM_00171	CDS	1476				hypothetical protein
HPEOJCLM_00172	CDS	1251				hypothetical protein
HPEOJCLM_00173	CDS	924				hypothetical protein
HPEOJCLM_00174	CDS	1581	ifcA_1	1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
HPEOJCLM_00175	CDS	651				hypothetical protein
HPEOJCLM_00176	CDS	822	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
HPEOJCLM_00177	CDS	1149	dnaJ_2		COG0484	Chaperone protein DnaJ
HPEOJCLM_00178	CDS	1011	hrcA		COG1420	Heat-inducible transcription repressor HrcA
HPEOJCLM_00179	CDS	1173	hemW_1		COG0635	Heme chaperone HemW
HPEOJCLM_00180	CDS	972	dus	1.3.1.-	COG0042	putative tRNA-dihydrouridine synthase
HPEOJCLM_00181	CDS	183				hypothetical protein
HPEOJCLM_00182	CDS	648	sgcG	1.3.99.24		2-amino-4-deoxychorismate dehydrogenase
HPEOJCLM_00183	CDS	993	lepA	3.6.5.-		Elongation factor 4
HPEOJCLM_00184	CDS	564				hypothetical protein
HPEOJCLM_00185	CDS	681				hypothetical protein
HPEOJCLM_00186	CDS	267				hypothetical protein
HPEOJCLM_00187	CDS	1278				hypothetical protein
HPEOJCLM_00188	CDS	849	pheA			Bifunctional chorismate mutase/prephenate dehydratase
HPEOJCLM_00189	CDS	933				hypothetical protein
HPEOJCLM_00190	CDS	642	mntP		COG1971	putative manganese efflux pump MntP
HPEOJCLM_00191	CDS	891	nth_1	4.2.99.18		Endonuclease III
HPEOJCLM_00192	CDS	1431				hypothetical protein
HPEOJCLM_00193	CDS	858				hypothetical protein
HPEOJCLM_00194	CDS	1899			COG1132	putative ABC transporter ATP-binding protein
HPEOJCLM_00195	CDS	969			COG1132	putative ABC transporter ATP-binding protein
HPEOJCLM_00196	CDS	213				hypothetical protein
HPEOJCLM_00197	CDS	378				hypothetical protein
HPEOJCLM_00198	CDS	732				hypothetical protein
HPEOJCLM_00199	CDS	153				hypothetical protein
HPEOJCLM_00200	CDS	1716	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
HPEOJCLM_00201	CDS	672				hypothetical protein
HPEOJCLM_00202	tRNA	83				tRNA-Leu(taa)
HPEOJCLM_00203	CDS	951	ppx2	3.6.1.11	COG0248	Exopolyphosphatase 2
HPEOJCLM_00204	CDS	939				hypothetical protein
HPEOJCLM_00205	CDS	381	mntR		COG1321	Transcriptional regulator MntR
HPEOJCLM_00206	CDS	303				hypothetical protein
HPEOJCLM_00207	CDS	2337	feoB		COG0370	Fe(2+) transporter FeoB
HPEOJCLM_00208	CDS	231				hypothetical protein
HPEOJCLM_00209	CDS	282				hypothetical protein
HPEOJCLM_00210	CDS	1575	thrC	4.2.3.1	COG0498	Threonine synthase
HPEOJCLM_00211	CDS	345				hypothetical protein
HPEOJCLM_00212	CDS	294				hypothetical protein
HPEOJCLM_00213	CDS	447				hypothetical protein
HPEOJCLM_00214	CDS	441				hypothetical protein
HPEOJCLM_00215	CDS	2142				hypothetical protein
HPEOJCLM_00216	CDS	516				hypothetical protein
HPEOJCLM_00217	CDS	165				hypothetical protein
HPEOJCLM_00218	CDS	243				hypothetical protein
HPEOJCLM_00219	CDS	951				hypothetical protein
HPEOJCLM_00220	CDS	987				hypothetical protein
HPEOJCLM_00221	CDS	1332				hypothetical protein
HPEOJCLM_00222	CDS	1317				hypothetical protein
HPEOJCLM_00223	CDS	816				hypothetical protein
HPEOJCLM_00224	tRNA	75				tRNA-Val(tac)
HPEOJCLM_00225	CDS	477				hypothetical protein
HPEOJCLM_00226	CDS	927	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
HPEOJCLM_00227	CDS	651				hypothetical protein
HPEOJCLM_00228	CDS	894	rhaS			HTH-type transcriptional activator RhaS
HPEOJCLM_00229	CDS	951				hypothetical protein
HPEOJCLM_00230	CDS	696				hypothetical protein
HPEOJCLM_00231	CDS	1074				hypothetical protein
HPEOJCLM_00232	CDS	888	cmpR_1		COG0583	HTH-type transcriptional activator CmpR
HPEOJCLM_00233	CDS	1338				hypothetical protein
HPEOJCLM_00234	CDS	696				hypothetical protein
HPEOJCLM_00235	CDS	873				hypothetical protein
HPEOJCLM_00236	CDS	663				hypothetical protein
HPEOJCLM_00237	CDS	3117	pcrA_1	1.97.1.-	COG0243	Perchlorate reductase subunit alpha
HPEOJCLM_00238	CDS	1557				hypothetical protein
HPEOJCLM_00239	CDS	873				hypothetical protein
HPEOJCLM_00240	CDS	741	torD_2			Chaperone protein TorD
HPEOJCLM_00241	CDS	654	napG_1		COG1145	Ferredoxin-type protein NapG
HPEOJCLM_00242	CDS	1023				hypothetical protein
HPEOJCLM_00243	CDS	969				hypothetical protein
HPEOJCLM_00244	CDS	1407	hydB	1.12.2.1	COG0374	Periplasmic [NiFe] hydrogenase large subunit
HPEOJCLM_00245	CDS	588				hypothetical protein
HPEOJCLM_00246	CDS	225				hypothetical protein
HPEOJCLM_00247	CDS	2433	napA_1	1.9.6.1		Periplasmic nitrate reductase
HPEOJCLM_00248	CDS	609	soeB_1		COG0437	Sulfite dehydrogenase subunit B
HPEOJCLM_00249	CDS	891				hypothetical protein
HPEOJCLM_00250	CDS	735	arsM	2.1.1.137		Arsenite methyltransferase
HPEOJCLM_00251	CDS	162				hypothetical protein
HPEOJCLM_00252	CDS	1062				hypothetical protein
HPEOJCLM_00253	CDS	2154	uvrB		COG0556	UvrABC system protein B
HPEOJCLM_00254	CDS	1032				hypothetical protein
HPEOJCLM_00255	CDS	390				hypothetical protein
HPEOJCLM_00256	CDS	1752	ifcA_2	1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
HPEOJCLM_00257	CDS	861				hypothetical protein
HPEOJCLM_00258	CDS	303				hypothetical protein
HPEOJCLM_00259	CDS	441				hypothetical protein
HPEOJCLM_00260	CDS	141				hypothetical protein
HPEOJCLM_00261	CDS	1506				hypothetical protein
HPEOJCLM_00262	CDS	249				hypothetical protein
HPEOJCLM_00263	CDS	1530				hypothetical protein
HPEOJCLM_00264	CDS	507				hypothetical protein
HPEOJCLM_00265	CDS	864				hypothetical protein
HPEOJCLM_00266	CDS	585				hypothetical protein
HPEOJCLM_00267	CDS	642				hypothetical protein
HPEOJCLM_00268	tRNA	78				tRNA-Met(cat)
HPEOJCLM_00269	CDS	1017				hypothetical protein
HPEOJCLM_00270	CDS	1425	purF_1	2.4.2.14		Amidophosphoribosyltransferase
HPEOJCLM_00271	CDS	2724	menE	6.2.1.26		2-succinylbenzoate--CoA ligase
HPEOJCLM_00272	CDS	840	menB	4.1.3.36		1,4-dihydroxy-2-naphthoyl-CoA synthase
HPEOJCLM_00273	CDS	1074	pilT		COG2805	Twitching mobility protein
HPEOJCLM_00274	CDS	420				hypothetical protein
HPEOJCLM_00275	CDS	639				hypothetical protein
HPEOJCLM_00276	CDS	624				hypothetical protein
HPEOJCLM_00277	CDS	300				hypothetical protein
HPEOJCLM_00278	CDS	1053	epsF		COG1459	Type II secretion system protein F
HPEOJCLM_00279	CDS	990				hypothetical protein
HPEOJCLM_00280	CDS	1530	barA	2.7.13.3	COG0784	Signal transduction histidine-protein kinase BarA
HPEOJCLM_00281	CDS	654				hypothetical protein
HPEOJCLM_00282	CDS	2286				hypothetical protein
HPEOJCLM_00283	CDS	1167	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
HPEOJCLM_00284	CDS	672	cmk	2.7.4.25	COG0283	Cytidylate kinase
HPEOJCLM_00285	CDS	870				hypothetical protein
HPEOJCLM_00286	CDS	897	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
HPEOJCLM_00287	CDS	1629				hypothetical protein
HPEOJCLM_00288	CDS	1314	der_1		COG1160	GTPase Der
HPEOJCLM_00289	CDS	702	plsY	2.3.1.275	COG0344	Glycerol-3-phosphate acyltransferase
HPEOJCLM_00290	CDS	999	gpsA	1.1.1.94		Glycerol-3-phosphate dehydrogenase [NAD(P)+]
HPEOJCLM_00291	CDS	2559	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
HPEOJCLM_00292	CDS	327	gdx			Guanidinium exporter
HPEOJCLM_00293	CDS	726				hypothetical protein
HPEOJCLM_00294	CDS	849				hypothetical protein
HPEOJCLM_00295	CDS	1428				hypothetical protein
HPEOJCLM_00296	CDS	258				hypothetical protein
HPEOJCLM_00297	CDS	1428	glmM_1	5.4.2.10	COG1109	Phosphoglucosamine mutase
HPEOJCLM_00298	CDS	531	hisE	3.6.1.31		Phosphoribosyl-ATP pyrophosphatase
HPEOJCLM_00299	CDS	1011				hypothetical protein
HPEOJCLM_00300	CDS	684	napG_2		COG1145	Ferredoxin-type protein NapG
HPEOJCLM_00301	CDS	867				hypothetical protein
HPEOJCLM_00302	CDS	870				hypothetical protein
HPEOJCLM_00303	CDS	498	phsB_1		COG0437	Thiosulfate reductase electron transfer subunit PhsB
HPEOJCLM_00304	CDS	105				hypothetical protein
HPEOJCLM_00305	CDS	3060	pcrA_2	1.97.1.-	COG0243	Perchlorate reductase subunit alpha
HPEOJCLM_00306	CDS	852				hypothetical protein
HPEOJCLM_00307	CDS	828				hypothetical protein
HPEOJCLM_00308	CDS	747	torD_3			Chaperone protein TorD
HPEOJCLM_00309	CDS	1881				hypothetical protein
HPEOJCLM_00310	CDS	1635	rsxB_1	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
HPEOJCLM_00311	CDS	945	hcaR_1			Hca operon transcriptional activator HcaR
HPEOJCLM_00312	CDS	381	dfx	1.15.1.2	COG2033	Desulfoferrodoxin
HPEOJCLM_00313	CDS	852	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
HPEOJCLM_00314	CDS	231				hypothetical protein
HPEOJCLM_00315	CDS	291				hypothetical protein
HPEOJCLM_00316	CDS	231	nfuA			Fe/S biogenesis protein NfuA
HPEOJCLM_00317	CDS	537				hypothetical protein
HPEOJCLM_00318	CDS	600				hypothetical protein
HPEOJCLM_00319	CDS	1797				hypothetical protein
HPEOJCLM_00320	CDS	252				hypothetical protein
HPEOJCLM_00321	CDS	1194	aspC	2.6.1.1	COG0436	Aspartate aminotransferase
HPEOJCLM_00322	CDS	1389				hypothetical protein
HPEOJCLM_00323	CDS	1359	proP_1			Proline/betaine transporter
HPEOJCLM_00324	CDS	3111	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
HPEOJCLM_00325	CDS	795	pyrK		COG0543	Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit
HPEOJCLM_00326	CDS	933	pyrD	1.3.1.14	COG0167	Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit
HPEOJCLM_00327	CDS	660	nadD	2.7.7.18	COG1057	Nicotinate-nucleotide adenylyltransferase
HPEOJCLM_00328	CDS	1290	proA	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
HPEOJCLM_00329	CDS	1134	proB	2.7.2.11		Glutamate 5-kinase
HPEOJCLM_00330	CDS	1398	obg	3.6.5.-		GTPase Obg
HPEOJCLM_00331	CDS	261	rpmA		COG0211	50S ribosomal protein L27
HPEOJCLM_00332	CDS	321	rplU		COG0261	50S ribosomal protein L21
HPEOJCLM_00333	CDS	1524				hypothetical protein
HPEOJCLM_00334	CDS	249				hypothetical protein
HPEOJCLM_00335	CDS	483				hypothetical protein
HPEOJCLM_00336	CDS	225				hypothetical protein
HPEOJCLM_00337	CDS	1602				hypothetical protein
HPEOJCLM_00338	CDS	1224	arcA_1	3.5.3.6	COG2235	Arginine deiminase
HPEOJCLM_00339	CDS	966				hypothetical protein
HPEOJCLM_00340	CDS	2652				hypothetical protein
HPEOJCLM_00341	CDS	1137				hypothetical protein
HPEOJCLM_00342	CDS	372				hypothetical protein
HPEOJCLM_00343	CDS	1794	ifcA_3	1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
HPEOJCLM_00344	CDS	501	moaC	4.6.1.17	COG0315	Cyclic pyranopterin monophosphate synthase
HPEOJCLM_00345	CDS	435	moaA2	4.1.99.22	COG2896	GTP 3',8-cyclase 2
HPEOJCLM_00346	CDS	480				hypothetical protein
HPEOJCLM_00347	CDS	555	xerC_1		COG4973	Tyrosine recombinase XerC
HPEOJCLM_00348	tRNA	75				tRNA-Val(gac)
HPEOJCLM_00349	CDS	465				hypothetical protein
HPEOJCLM_00350	tRNA	76				tRNA-Gly(gcc)
HPEOJCLM_00351	tRNA	74				tRNA-Cys(gca)
HPEOJCLM_00352	tRNA	76				tRNA-Gly(gcc)
HPEOJCLM_00353	CDS	909				hypothetical protein
HPEOJCLM_00354	CDS	921				hypothetical protein
HPEOJCLM_00355	CDS	585			COG0053	putative cation efflux system protein
HPEOJCLM_00356	CDS	336	eamB		COG1280	Cysteine/O-acetylserine efflux protein
HPEOJCLM_00357	CDS	267				hypothetical protein
HPEOJCLM_00358	CDS	894	cmpR_2			HTH-type transcriptional activator CmpR
HPEOJCLM_00359	CDS	975				hypothetical protein
HPEOJCLM_00360	tRNA	84				tRNA-Leu(caa)
HPEOJCLM_00361	CDS	639				hypothetical protein
HPEOJCLM_00362	CDS	354				hypothetical protein
HPEOJCLM_00363	CDS	273				hypothetical protein
HPEOJCLM_00364	CDS	609	ngr		COG1592	Nigerythrin
HPEOJCLM_00365	CDS	1431	apeA	3.4.11.-	COG1362	putative M18 family aminopeptidase 1
HPEOJCLM_00366	CDS	726	arcC1_1	2.7.2.2		Carbamate kinase 1
HPEOJCLM_00367	CDS	333				hypothetical protein
HPEOJCLM_00368	CDS	660	ribE	2.5.1.9	COG0307	Riboflavin synthase
HPEOJCLM_00369	CDS	1170	ribD		COG0117	Riboflavin biosynthesis protein RibD
HPEOJCLM_00370	CDS	801	yebC		COG0217	putative transcriptional regulatory protein YebC
HPEOJCLM_00371	CDS	756				hypothetical protein
HPEOJCLM_00372	CDS	1176	ybiR		COG0471	Inner membrane protein YbiR
HPEOJCLM_00373	CDS	1332				hypothetical protein
HPEOJCLM_00374	CDS	927				hypothetical protein
HPEOJCLM_00375	CDS	1788	kdpA		COG2060	Potassium-transporting ATPase potassium-binding subunit
HPEOJCLM_00376	CDS	366				hypothetical protein
HPEOJCLM_00377	CDS	2472	OSGEPL1	2.3.1.234		tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial
HPEOJCLM_00378	CDS	513	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
HPEOJCLM_00379	CDS	819	focA		COG2116	putative formate transporter 1
HPEOJCLM_00380	CDS	1698	ifcA_4	1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
HPEOJCLM_00381	CDS	111				hypothetical protein
HPEOJCLM_00382	CDS	1440				hypothetical protein
HPEOJCLM_00383	CDS	864	folD			Bifunctional protein FolD protein
HPEOJCLM_00384	CDS	615	fchA	3.5.4.9	COG3404	Methenyltetrahydrofolate cyclohydrolase
HPEOJCLM_00385	CDS	1518	fhs	6.3.4.3	COG2759	Formate--tetrahydrofolate ligase
HPEOJCLM_00386	CDS	990				hypothetical protein
HPEOJCLM_00387	CDS	162				hypothetical protein
HPEOJCLM_00388	CDS	579				hypothetical protein
HPEOJCLM_00389	CDS	1347	proP_2			Proline/betaine transporter
HPEOJCLM_00390	CDS	561				hypothetical protein
HPEOJCLM_00391	CDS	1116				hypothetical protein
HPEOJCLM_00392	CDS	456				hypothetical protein
HPEOJCLM_00393	CDS	183				hypothetical protein
